name,address,postnummer,poststed
POWER Alnabru,Smalvollveien 65,0667,Oslo
POWER Majorstuen,Sørkedalsveien 33,0369,Oslo
POWER City (Oslo),Dronningens gate 40,0154,Oslo
POWER Lille Grensen,Lille Grensen 5,0159,Oslo
POWER Skøyen,Drammensveien 161,0277,Oslo
POWER Storo,Vitaminveien 6,0483,Oslo
POWER Lørenskog,Solheimveien 6-8,1461,Lørenskog
POWER Jessheim,Furusethgata 10,2050,Jessheim
POWER Kongsvinger,Otto Wengs veg 7,2212,Kongsvinger
POWER Hamar,Vangsvegen 91,2317,Hamar
POWER Gjøvik,Kallerudlia 3,2816,Gjøvik
POWER Kongsberg,Gomsrudveien 40,3616,Kongsberg
POWER Drammen,C. O. Lunds gate 25,3043,Drammen
POWER Askim,Trøgstadveien 4,1830,Askim
POWER Sarpsborg,Lilletunveien 3,1711,Sarpsborg
POWER Fredrikstad (Rolvsøy),Dikeveien 37,1661,Rolvsøy
POWER Moss,Varnaveien 43E,1526,Moss
POWER Skien,Kjørbekkdalen 12D,3735,Skien
POWER Porsgrunn,Skippergata 14,3921,Porsgrunn
POWER Tønsberg,Halfdan Wilhelmsens alle 41,3117,Tønsberg
POWER Arendal,Sagvannsveien 16,4848,Arendal
POWER Kristiansand Sentrum,Tordenskjolds gate 26,4612,Kristiansand S
POWER Kristiansand (Sørlandsparken),Barstølveien 29,4636,Kristiansand S
POWER Søgne,Gamle Høgskolevei 18,4640,Søgne
POWER Forus,Stokkamyrveien 7,4313,Sandnes
POWER Stavanger Tvedt,Lagerveien 2,4033,Stavanger
POWER Mariero,Langflåtveien 21,4017,Stavanger
POWER Bergen Sentrum,Strandgaten 55-57,5004,Bergen
POWER Lagunen,Laguneveien 21,5239,Rådal
POWER Åsane,Åsane Senter 51,5116,Ulset
POWER Askøy,Juvikflaten 34,5308,Kleppestø
POWER Ålesund Breivika,Nordre Holen 15,6019,Ålesund
POWER Moa (Ålesund),Moa Gård (AMFI Moa),6022,Ålesund
POWER Kristiansund,Industriveien 17,6517,Kristiansund N
POWER Molde,Birger Hatlebakks veg 1-5,6415,Molde
POWER Lade,Håkon VII's gate 27,7041,Trondheim
POWER Tiller,Ivar Lykkes veg 5,7075,Tiller
POWER Steinkjer,Sjøfartsgata 2,7714,Steinkjer
POWER Bodø Sentrum,Storgata 3,8006,Bodø
POWER Bodø City Nord,Stormyrveien 20,8008,Bodø
POWER Harstad,Verkstedveien 7,9406,Harstad
POWER Tromsø,Heilovegen 6,9015,Tromsø
